match_id,side,team,stat,value
1267473376,home,Ecuador,Expected Goals,3.05
1267473376,home,Ecuador,Big Chances Created,5
1267473376,home,Ecuador,Attacks,146
1267473376,home,Ecuador,Free Kicks,9
1267473376,home,Ecuador,Expected Assists,1.61
1267473376,home,Ecuador,Successful Crosses,12
1267473376,home,Ecuador,Crosses,32
1267473376,home,Ecuador,Passes Own Half,213
1267473376,home,Ecuador,Passes Opposition Half,464
1267473376,home,Ecuador,Successful Long Passes,12
1267473376,home,Ecuador,Long Passes,33
1267473376,home,Ecuador,Throw-Ins,18
1267473376,home,Ecuador,Key Passes,23
1267473376,home,Ecuador,Passes Into Final Third,187
1267473376,home,Ecuador,Backward Passes,91
1267473376,home,Ecuador,Goal Kicks,5
1267473376,home,Ecuador,Interceptions,7
1267473376,home,Ecuador,Successful Tackles,11
1267473376,home,Ecuador,Tackles,19
1267473376,home,Ecuador,Clearances,16
1267473376,home,Ecuador,Successful Aerial Duels,14
1267473376,home,Ecuador,Aerial Duels,31
1267473376,home,Ecuador,Successful Dribbles,8
1267473376,home,Ecuador,Dribbles,12
1267473376,home,Ecuador,Shots accuracy,0.56
1267473376,home,Ecuador,Failed passes,66
1267473376,home,Ecuador,Possession,0.75
1267473376,home,Ecuador,Shots on target,15
1267473376,home,Ecuador,Corners,9
1267473376,home,Ecuador,Offsides,1
1267473376,home,Ecuador,Successful passes,579
1267473376,home,Ecuador,Red cards,0
1267473376,home,Ecuador,Shots off target,10
1267473376,home,Ecuador,Blocked shots,2
1267473376,home,Ecuador,Shots within penalty area,21
1267473376,home,Ecuador,Total passes,645
1267473376,home,Ecuador,Goalkeeper saves,3
1267473376,home,Ecuador,Fouls,7
1267473376,home,Ecuador,Yellow cards,1
1267473376,home,Ecuador,Shots outside penalty area,6
1267473376,away,Curaçao,Expected Goals,0.48
1267473376,away,Curaçao,Big Chances Created,0
1267473376,away,Curaçao,Attacks,59
1267473376,away,Curaçao,Free Kicks,7
1267473376,away,Curaçao,Expected Assists,0.21
1267473376,away,Curaçao,Successful Crosses,1
1267473376,away,Curaçao,Crosses,1
1267473376,away,Curaçao,Passes Own Half,110
1267473376,away,Curaçao,Passes Opposition Half,116
1267473376,away,Curaçao,Successful Long Passes,14
1267473376,away,Curaçao,Long Passes,50
1267473376,away,Curaçao,Throw-Ins,15
1267473376,away,Curaçao,Key Passes,9
1267473376,away,Curaçao,Passes Into Final Third,32
1267473376,away,Curaçao,Backward Passes,28
1267473376,away,Curaçao,Goal Kicks,14
1267473376,away,Curaçao,Interceptions,8
1267473376,away,Curaçao,Successful Tackles,7
1267473376,away,Curaçao,Tackles,16
1267473376,away,Curaçao,Clearances,32
1267473376,away,Curaçao,Successful Aerial Duels,17
1267473376,away,Curaçao,Aerial Duels,31
1267473376,away,Curaçao,Successful Dribbles,10
1267473376,away,Curaçao,Dribbles,23
1267473376,away,Curaçao,Shots accuracy,0.3
1267473376,away,Curaçao,Failed passes,68
1267473376,away,Curaçao,Possession,0.25
1267473376,away,Curaçao,Shots on target,3
1267473376,away,Curaçao,Corners,0
1267473376,away,Curaçao,Offsides,2
1267473376,away,Curaçao,Successful passes,157
1267473376,away,Curaçao,Red cards,0
1267473376,away,Curaçao,Shots off target,4
1267473376,away,Curaçao,Blocked shots,3
1267473376,away,Curaçao,Shots within penalty area,4
1267473376,away,Curaçao,Total passes,225
1267473376,away,Curaçao,Goalkeeper saves,15
1267473376,away,Curaçao,Fouls,10
1267473376,away,Curaçao,Yellow cards,5
1267473376,away,Curaçao,Shots outside penalty area,6
1267474227,home,Germany,Expected Goals,1.89
1267474227,home,Germany,Big Chances Created,5
1267474227,home,Germany,Attacks,131
1267474227,home,Germany,Free Kicks,6
1267474227,home,Germany,Expected Assists,1.95
